Userid,Name,Email,Status,"Last seen location (latitude, longitude)",Time of day,Day of the week,Month,Weather,Academic calendar events,Building
uxyf6m79v,Luna Martin,martin.3141@osu.edu,idle,"40.001529, -83.013037",07:45,Sunday,March,Cloudy,Midterms season,18th Avenue library
uvdgcssyk,Benjamin Garcia,garcia.2158@osu.edu,active,"39.997224, -83.008644",22:00,Wednesday,October,Cloudy,Midterms season,Ohio Union
ut2aw36sp,James Lewis,lewis.8475@osu.edu,active,"39.997931, -83.008421",10:45,Wednesday,September,Sunny,Regular,Ohio Union
uo8xnufi6,Gianna Walker,walker.3707@osu.edu,active,"40.001855, -83.013068",08:00,Monday,November,Sunny,Regular,18th Avenue library
uul8knzbk,Olivia King,king.7674@osu.edu,idle,"39.998218, -83.011886",21:15,Sunday,December,Rain,Finals season,orton library
uuajqenti,Jacob Nelson,nelson.7543@osu.edu,active,"39.999471, -83.015428",16:45,Sunday,February,Sunny,Regular,Thompson library
u8btaagh8,Noah Flores,flores.2451@osu.edu,active,"40.001500, -83.013223",10:45,Wednesday,November,Cloudy,Regular,18th Avenue library
u02em9mcg,Aiden Ramirez,ramirez.4657@osu.edu,active,"39.998359, -83.011656",13:00,Tuesday,October,Rain,Midterms season,orton library
uoc7bx4lp,William Scott,scott.1588@osu.edu,active,"39.998534, -83.008744",08:30,Sunday,November,Rain,Regular,Ohio Union
u37h3887j,Valentina Moore,moore.5708@osu.edu,idle,"40.001885, -83.013168",05:45,Wednesday,May,Sunny,Regular,18th Avenue library
u9ky65uya,Maria Anderson,anderson.581@osu.edu,idle,"39.999342, -83.014923",13:00,Wednesday,September,Cloudy,Regular,Thompson library
uoyfe8aef,Isabella Adams,adams.3388@osu.edu,idle,"40.001634, -83.013235",16:45,Sunday,February,Cloudy,Regular,18th Avenue library
ubtrbaxwb,Jacob Johnson,johnson.3874@osu.edu,active,"39.997209, -83.008590",12:30,Tuesday,February,Snow,Regular,Ohio Union
uw7l1gia0,Michael Scott,scott.7340@osu.edu,idle,"40.003690, -83.016795",19:15,Tuesday,November,Rain,Regular,Knowlton Hall
usepr46ot,Jackson Johnson,johnson.7133@osu.edu,idle,"40.001523, -83.013512",05:15,Sunday,January,Sunny,Regular,18th Avenue library
u3aecww16,Jackson Hernandez,hernandez.408@osu.edu,active,"40.003609, -83.016186",11:00,Sunday,October,Rain,Midterms season,Knowlton Hall
urx5124sa,William Ramirez,ramirez.3582@osu.edu,idle,"39.997384, -83.009112",17:00,Sunday,September,Rain,Regular,Ohio Union
uv7dfmqbi,Amelia Thompson,thompson.2370@osu.edu,active,"39.998225, -83.012081",16:00,Tuesday,September,Cloudy,Regular,orton library
uzlvaa33x,Charlotte Lopez,lopez.723@osu.edu,active,"40.001536, -83.013265",01:30,Sunday,May,Sunny,Regular,18th Avenue library
uy3mnma2h,Luna Mitchell,mitchell.487@osu.edu,active,"40.001522, -83.013382",19:30,Thursday,November,Rain,Regular,18th Avenue library
upn5iy9ec,Sebastian Baker,baker.5484@osu.edu,active,"39.997175, -83.009037",18:00,Wednesday,September,Sunny,Regular,Ohio Union
u3ia190fo,Sofia Jackson,jackson.7035@osu.edu,idle,"39.997609, -83.007956",10:00,Friday,March,Rain,Regular,Ohio Union
u324d1in5,Gabriel Adams,adams.4641@osu.edu,active,"39.998268, -83.012145",20:30,Monday,April,Cloudy,Finals season,orton library
u6tqhfjzl,Ethan Walker,walker.5890@osu.edu,idle,"39.999036, -83.014893",15:15,Monday,January,Sunny,Regular,Thompson library
uukzmqxqy,Emily Martinez,martinez.166@osu.edu,active,"39.997458, -83.008815",20:30,Thursday,April,Cloudy,Finals season,Ohio Union
utsfv8xy4,Jacob Rivera,rivera.9688@osu.edu,idle,"39.999245, -83.015066",16:15,Wednesday,December,Sunny,Regular,Thompson library
uaikzudhb,Sofia Torres,torres.3897@osu.edu,idle,"40.001769, -83.013135",15:00,Friday,April,Sunny,Finals season,18th Avenue library
uv7cqismm,Lucas Sanchez,sanchez.6216@osu.edu,active,"39.999255, -83.014935",11:15,Wednesday,November,Sunny,Regular,Thompson library
u2aka80sd,Avery Lewis,lewis.847@osu.edu,idle,"39.998413, -83.011880",06:00,Sunday,March,Rain,Midterms season,orton library
u3vkucmgq,Alexander Perez,perez.6089@osu.edu,active,"39.998365, -83.011938",15:30,Saturday,June,Rain,Regular,orton library
ug85p4tqp,Lucas Martin,martin.9876@osu.edu,active,"40.000195, -83.008750",15:00,Sunday,October,Cloudy,Midterms season,wexner center
u7bja0jkj,Harper Campbell,campbell.5615@osu.edu,idle,"39.999428, -83.014586",11:00,Friday,March,Rain,Midterms season,Thompson library
u6xs3c67m,James Gonzalez,gonzalez.482@osu.edu,active,"39.998251, -83.011695",12:00,Monday,April,Cloudy,Finals season,orton library
u8u9ntwmj,Maria Thompson,thompson.5400@osu.edu,active,"40.001825, -83.013612",16:45,Monday,March,Sunny,Midterms season,18th Avenue library
u3d9jd7ah,Camila Hernandez,hernandez.1836@osu.edu,active,"40.001740, -83.013452",14:15,Thursday,October,Rain,Regular,18th Avenue library
uwgp75lg2,Andrea Wilson,wilson.6604@osu.edu,idle,"40.003614, -83.016992",21:00,Thursday,March,Cloudy,Midterms season,Knowlton Hall
u8o8w8am4,Sophia Young,young.2861@osu.edu,active,"40.001732, -83.013158",20:00,Tuesday,February,Snow,Regular,18th Avenue library
uoa6xeazk,Liam Baker,baker.5776@osu.edu,active,"40.001412, -83.009533",10:00,Saturday,October,Sunny,Midterms season,wexner center
udiatqu31,Maria Campbell,campbell.6705@osu.edu,idle,"40.001235, -83.009491",07:15,Monday,September,Sunny,Regular,wexner center
ut9y0xd18,Avery Rivera,rivera.5142@osu.edu,active,"40.003742, -83.015951",16:30,Tuesday,September,Sunny,Regular,Knowlton Hall
u38ju59w3,Santiago Torres,torres.731@osu.edu,active,"40.001711, -83.013309",14:15,Thursday,April,Cloudy,Finals season,18th Avenue library
u476wcxps,Emma Carter,carter.7449@osu.edu,active,"39.999133, -83.014498",17:30,Sunday,October,Cloudy,Regular,Thompson library
umxpm93k8,Michael Jackson,jackson.6368@osu.edu,active,"39.999057, -83.014389",19:00,Wednesday,November,Cloudy,Regular,Thompson library
uxii1cemk,Luna Torres,torres.7069@osu.edu,active,"39.998393, -83.012156",08:30,Tuesday,November,Cloudy,Regular,orton library
uu3rnda6m,Andrea Scott,scott.9717@osu.edu,active,"39.997288, -83.008152",14:15,Thursday,January,Cloudy,Regular,Ohio Union
ukewes5h0,Emma Thomas,thomas.8486@osu.edu,idle,"39.999358, -83.014895",21:45,Thursday,March,Sunny,Midterms season,Thompson library
u9n94h2be,Diego Allen,allen.7896@osu.edu,active,"40.001827, -83.013680",12:00,Sunday,March,Sunny,Regular,18th Avenue library
up2shlq3m,Harper Brown,brown.4282@osu.edu,idle,"40.001582, -83.013276",19:00,Thursday,November,Cloudy,Regular,18th Avenue library
